Block Name,Row ID,N,Time,avg(Area),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(Area),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(Area),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(Area),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(Area),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(Area),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(Area),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
stats,134,1,67.5,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0.00500595,304.488,-0.0998841,0.00258407,0.00683894,0.100151,0,0,0,0,0,0,0,0,1
stats,135,1,68,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0.00500595,304.494,-0.0998854,0.00270135,0.00682445,0.100155,0,0,0,0,0,0,0,0,1
stats,136,1,68.5,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0.00500595,304.5,-0.099889,0.00297042,0.00674061,0.10016,0,0,0,0,0,0,0,0,1
stats,137,1,69,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0.00500595,304.511,-0.099885,0.00370974,0.00631434,0.100153,0,0,0,0,0,0,0,0,1
stats,138,1,69.5,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0.00500595,304.536,-0.099896,0.00525217,0.0056797,0.100195,0,0,0,0,0,0,0,0,1
stats,139,1,70,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0.00500595,304.55,-0.0998943,0.00633474,0.00554772,0.100249,0,0,0,0,0,0,0,0,1
stats,140,1,70.5,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0.00500595,304.557,-0.0998843,0.00690463,0.00578865,0.10029,0,0,0,0,0,0,0,0,1
stats,141,1,71,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0.00500595,304.564,-0.0998761,0.00719207,0.00605514,0.100318,0,0,0,0,0,0,0,0,1
stats,142,1,71.5,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0.00500595,304.57,-0.0998709,0.00724258,0.00616943,0.100323,0,0,0,0,0,0,0,0,1
stats,143,1,72,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0.00500595,304.576,-0.0998706,0.00706305,0.00617797,0.10031,0,0,0,0,0,0,0,0,1
